,state,date,max_temp,humidity,cloudiness,wind_speed,description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sum_passengers,city_rank,qol_index,purchase_power,safety,healh_care,cost_of_living,prop_to_income_ratio,traffic_comm_time,pollution,climate,city,latitude,longitude,high_q
432,ME,2023-03-02 01:28:50,35.28,79,100,4.47,   Government Expenditures ,59464.0,65303.0,66212.0,69234.0,73179.0,76798.0,82599.0,77752.0,81112.0,87875.0,0.93M,,,,,,,,,,,Raymond,43.9015,-70.4703,0
433,OK,2023-03-02 01:32:46,58.96,52,0,5.75,   Government Expenditures ,178213.0,192331.0,202505.0,210521.0,210547.0,210224.0,212924.0,218647.0,229235.0,246084.0,0.00M,5.0,174.8,95.6,49.3,69.6,72.4,3.7,27.5,25.7,77.6,Muskogee,35.5834,-95.3336,1
434,FL,2023-03-02 01:32:47,77.04,73,0,8.05,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Jacksonville,30.3322,-81.6556,1
438,ID,2023-03-02 01:32:17,28.06,97,80,4.81,   Government Expenditures ,97673.0,103504.0,108816.0,112120.0,116308.0,120054.0,123867.0,124246.0,126093.0,136371.0,0.00M,,,,,,,,,,,Blackfoot,43.1905,-112.345,0
439,UT,2023-03-02 01:31:48,33.13,86,100,6.91,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,Tooele,40.5308,-112.2983,0
440,NY,2023-03-02 01:32:48,42.96,88,100,9.22,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Freeport,40.6576,-73.5832,0
442,CO,2023-03-02 01:32:48,44.44,46,0,0.0,   Government Expenditures ,568335.0,586706.0,607709.0,617820.0,685891.0,789345.0,887881.0,926516.0,953823.0,1034161.0,1.50M,37.0,167.3,130.7,54.7,69.7,80.8,3.8,36.0,43.6,56.3,Pueblo,38.2545,-104.6091,0
443,MT,2023-03-02 01:32:49,27.82,71,0,3.44,   Government Expenditures ,97938.0,105451.0,108145.0,107903.0,106456.0,103700.0,106132.0,96243.0,95295.0,105947.0,0.01M,,,,,,,,,,,Bozeman,45.6796,-111.0386,0
444,CA,2023-03-02 01:32:52,47.19,74,0,11.5,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Arcata,40.8665,-124.0828,1
450,IL,2023-03-02 01:32:53,49.71,52,0,6.91,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Galesburg,40.9478,-90.3712,0
451,AL,2023-03-02 01:30:34,70.34,85,100,7.0,,,,,,,,,,,,0.00M,,,,,,,,,,,Madison,34.7334,-86.5667,0
452,OR,2023-03-02 01:30:55,30.6,66,0,10.36,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Baker City,44.7749,-117.8344,0
453,MI,2023-03-02 01:32:54,35.51,75,100,0.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Cadillac,44.2519,-85.4012,0
454,AL,2023-03-02 01:32:54,75.24,65,0,5.75,,,,,,,,,,,,0.00M,,,,,,,,,,,Eufaula,31.8913,-85.1455,0
455,DE,2023-03-02 01:30:13,47.17,78,100,8.05,   Government Expenditures ,31547.0,34528.0,36660.0,38960.0,39413.0,39464.0,39769.0,41637.0,44148.0,48840.0,0.00M,,,,,,,,,,,Dover,39.1582,-75.5244,0
456,SC,2023-03-02 01:32:55,72.25,63,100,9.19,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,Dillon,34.4166,-79.3712,0
457,TN,2023-03-02 01:32:56,71.98,87,100,13.94,   Government Expenditures ,352536.0,376715.0,383697.0,394475.0,408948.0,421314.0,437671.0,417623.0,436064.0,469304.0,0.54M,33.0,169.1,109.5,53.6,64.9,79.7,3.9,39.0,35.7,83.0,Goodlettsville,36.3231,-86.7133,0
458,AK,2023-03-02 01:28:03,23.2,83,100,11.5,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Wasilla,61.5814,-149.4394,0
459,IL,2023-03-02 01:32:56,61.09,62,0,5.75,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Carbondale,37.7273,-89.2168,0
460,OR,2023-03-02 01:32:56,33.03,89,97,2.66,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,La Grande,45.3246,-118.0877,0
461,IA,2023-03-02 01:30:27,32.32,90,100,18.41,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Mason City,43.1536,-93.201,0
462,ND,2023-03-02 01:32:57,5.02,82,0,13.8,   Government Expenditures ,84182.0,96608.0,104104.0,114135.0,123153.0,130834.0,135114.0,135881.0,143473.0,153745.0,0.00M,,,,,,,,,,,West Fargo,46.875,-96.9004,0
463,OH,2023-03-02 01:32:57,54.66,81,100,4.76,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Huron,41.1501,-82.5499,1
465,CA,2023-03-02 01:32:17,53.49,58,40,13.8,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Isla Vista,34.4133,-119.861,1
471,VA,2023-03-02 01:32:29,52.68,90,0,0.0,   Government Expenditures ,517779.0,572806.0,599554.0,630938.0,609792.0,562193.0,514384.0,480580.0,503852.0,540056.0,10.89M,,,,,,,,,,,Petersburg,37.2279,-77.4019,0
472,UT,2023-03-02 01:33:59,43.39,75,0,5.75,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,Saint George,37.1041,-113.5841,0
473,OR,2023-03-02 01:29:10,37.26,38,0,12.66,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Bend,44.0582,-121.3153,0
474,TX,2023-03-02 01:34:00,75.83,76,100,9.17,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Lufkin,31.3382,-94.7291,1
478,IN,2023-03-02 01:34:00,51.49,74,0,4.61,   Government Expenditures ,206223.0,229332.0,247822.0,273753.0,274337.0,255048.0,229897.0,218872.0,231030.0,250115.0,0.00M,15.0,172.9,129.3,41.4,73.6,74.1,2.0,29.5,42.2,69.9,Kendallville,41.4414,-85.265,0
479,NC,2023-03-02 01:30:03,67.59,75,0,3.44,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Fayetteville,35.0527,-78.8784,1
481,NC,2023-03-02 01:34:01,57.58,76,0,0.0,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Asheboro,35.7079,-79.8136,1
483,NY,2023-03-02 01:31:54,40.26,81,40,4.61,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,North Tonawanda,43.0387,-78.8642,0
485,WY,2023-03-02 01:34:01,18.41,71,0,3.44,   Government Expenditures ,129588.0,141931.0,140612.0,144680.0,151027.0,154577.0,162018.0,137859.0,139545.0,150332.0,0.00M,,,,,,,,,,,Lander,42.833,-108.7307,0
486,MD,2023-03-02 01:34:01,54.36,82,0,6.91,   Government Expenditures ,534327.0,616853.0,675216.0,762724.0,765719.0,712183.0,640236.0,595673.0,621385.0,660603.0,1.75M,40.0,166.1,135.2,24.4,75.6,74.3,1.0,31.2,50.4,81.2,Indian Head,38.6001,-77.1622,0
487,MN,2023-03-02 01:34:02,30.49,83,100,17.27,   Government Expenditures ,481416.0,519959.0,555911.0,592604.0,633074.0,686979.0,748308.0,805894.0,857403.0,920680.0,0.21M,31.0,169.5,122.8,44.7,77.2,75.3,5.6,35.9,27.5,49.5,Cottage Grove,44.8277,-92.9438,0
488,AL,2023-03-02 01:30:00,70.79,85,100,7.0,,,,,,,,,,,,0.00M,,,,,,,,,,,Huntsville,34.7304,-86.5861,0
489,AR,2023-03-02 01:30:04,57.11,56,0,4.61,   Government Expenditures ,145929.0,156430.0,161631.0,167361.0,171633.0,173445.0,177039.0,170515.0,173614.0,190570.0,0.00M,,,,,,,,,,,Benton,36.3334,-94.3335,0
490,FL,2023-03-02 01:30:20,75.97,85,0,10.36,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Fernandina Beach,30.6697,-81.4626,1
494,MN,2023-03-02 01:33:29,28.56,84,100,17.27,   Government Expenditures ,481416.0,519959.0,555911.0,592604.0,633074.0,686979.0,748308.0,805894.0,857403.0,920680.0,0.21M,31.0,169.5,122.8,44.7,77.2,75.3,5.6,35.9,27.5,49.5,Oakdale,44.963,-92.9649,0
495,OK,2023-03-02 01:29:12,56.71,47,0,8.05,   Government Expenditures ,178213.0,192331.0,202505.0,210521.0,210547.0,210224.0,212924.0,218647.0,229235.0,246084.0,0.00M,5.0,174.8,95.6,49.3,69.6,72.4,3.7,27.5,25.7,77.6,Altus,34.6381,-99.334,1
496,TX,2023-03-02 01:34:06,70.05,21,100,11.61,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,West Odessa,31.8424,-102.4988,1
500,MI,2023-03-02 01:31:08,46.15,79,40,8.05,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Garden City,42.3256,-83.331,0
501,TX,2023-03-02 01:34:01,57.04,25,2,12.8,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Canyon,34.9803,-101.9188,1
505,WA,2023-03-02 01:30:06,46.02,74,100,6.91,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Bainbridge,47.6262,-122.5212,0
507,ME,2023-03-02 01:31:12,34.14,79,100,6.91,   Government Expenditures ,59464.0,65303.0,66212.0,69234.0,73179.0,76798.0,82599.0,77752.0,81112.0,87875.0,0.93M,,,,,,,,,,,Lewiston,44.1003,-70.2148,0
508,CA,2023-03-02 01:34:10,34.39,90,64,31.0,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Tehachapi,35.1322,-118.449,1
514,MI,2023-03-02 01:29:36,35.67,82,100,0.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Big Rapids,43.6981,-85.4837,0
515,FL,2023-03-02 01:33:02,77.0,69,0,15.01,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Key West,24.5557,-81.7826,1
519,FL,2023-03-02 01:33:43,77.0,70,0,6.91,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Miami Beach,25.7906,-80.1301,1
523,OK,2023-03-02 01:34:13,51.48,40,0,9.22,   Government Expenditures ,178213.0,192331.0,202505.0,210521.0,210547.0,210224.0,212924.0,218647.0,229235.0,246084.0,0.00M,5.0,174.8,95.6,49.3,69.6,72.4,3.7,27.5,25.7,77.6,Enid,36.3956,-97.8784,1
524,OH,2023-03-02 01:29:52,53.31,79,75,4.61,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Bay Village,41.4848,-81.9221,1
526,FL,2023-03-02 01:32:38,76.1,87,40,3.0,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Ormond Beach,29.2858,-81.0559,1
530,OR,2023-03-02 01:34:13,45.19,71,100,4.0,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Troutdale,45.5393,-122.3873,0
531,GA,2023-03-02 01:29:28,71.8,83,75,3.44,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Griffin,33.2468,-84.2641,0
532,OH,2023-03-02 01:33:57,66.25,48,75,14.97,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Worthington,40.0931,-83.018,1
534,MT,2023-03-02 01:35:14,30.2,81,100,4.61,   Government Expenditures ,97938.0,105451.0,108145.0,107903.0,106456.0,103700.0,106132.0,96243.0,95295.0,105947.0,0.01M,,,,,,,,,,,Whitefish,48.4111,-114.3376,0
535,FL,2023-03-02 01:33:23,72.68,91,40,10.36,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Crestview,30.7621,-86.5705,1
539,TN,2023-03-02 01:32:28,71.65,80,75,9.22,   Government Expenditures ,352536.0,376715.0,383697.0,394475.0,408948.0,421314.0,437671.0,417623.0,436064.0,469304.0,0.54M,33.0,169.1,109.5,53.6,64.9,79.7,3.9,39.0,35.7,83.0,Lebanon,36.2081,-86.2911,0
540,CA,2023-03-02 01:35:16,53.2,67,31,20.0,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Morro Bay,35.3658,-120.8499,1
546,CA,2023-03-02 01:35:17,43.32,72,75,11.5,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Yucaipa,34.0336,-117.0431,1
552,AZ,2023-03-02 01:35:18,35.11,93,100,0.0,   Government Expenditures ,386583.0,426882.0,445864.0,475043.0,493474.0,516519.0,542143.0,541020.0,554363.0,592774.0,1.04M,14.0,173.1,118.4,47.7,59.4,72.5,5.8,29.1,27.8,72.7,Chino Valley,34.7575,-112.4538,0
554,ID,2023-03-02 01:30:19,34.86,79,75,5.75,   Government Expenditures ,97673.0,103504.0,108816.0,112120.0,116308.0,120054.0,123867.0,124246.0,126093.0,136371.0,0.00M,,,,,,,,,,,Rathdrum,47.8137,-116.892,0
555,NJ,2023-03-02 01:34:12,40.6,84,100,5.75,   Government Expenditures ,341025.0,338796.0,343080.0,332242.0,334605.0,337079.0,338062.0,345313.0,363664.0,392735.0,8.82M,,,,,,,,,,,Morris,40.8334,-74.5329,0
556,MS,2023-03-02 01:35:19,77.22,63,40,11.5,   Government Expenditures ,161720.0,176969.0,179349.0,184860.0,184154.0,178866.0,179630.0,165845.0,173008.0,185792.0,0.01M,,,,,,,,,,,Natchez,31.5604,-91.4032,0
557,WY,2023-03-02 01:35:20,27.52,81,0,16.11,   Government Expenditures ,129588.0,141931.0,140612.0,144680.0,151027.0,154577.0,162018.0,137859.0,139545.0,150332.0,0.00M,,,,,,,,,,,Gillette,44.2911,-105.5022,0
558,MI,2023-03-02 01:35:20,34.11,92,100,5.75,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Escanaba,45.7453,-87.0646,0
559,FL,2023-03-02 01:35:21,73.31,92,40,11.5,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Pensacola,30.4213,-87.2169,1
563,FL,2023-03-02 01:33:52,77.05,81,20,9.22,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Atlantic Beach,30.3344,-81.3987,1
567,LA,2023-03-02 01:35:23,77.99,83,100,13.8,   Government Expenditures ,334126.0,360800.0,378724.0,392924.0,389059.0,387345.0,391650.0,413147.0,436562.0,469219.0,1.56M,,,,,,,,,,,Laplace,30.0666,-90.4801,0
568,IL,2023-03-02 01:35:23,54.05,73,100,6.64,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Virden,39.5009,-89.7679,0
569,MI,2023-03-02 01:35:23,37.72,89,100,9.22,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Bay City,43.5945,-83.8889,0
570,IL,2023-03-02 01:35:24,53.78,76,0,6.91,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Taylorville,39.5489,-89.2945,0
571,CA,2023-03-02 01:34:41,54.55,52,20,20.71,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Rancho Palos Verdes,33.7445,-118.387,1
577,MI,2023-03-02 01:31:27,44.94,79,75,6.91,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Pontiac,42.6389,-83.2911,0
578,CA,2023-03-02 01:34:07,24.26,76,75,6.91,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,South Lake Tahoe,38.9332,-119.9844,1
584,CA,2023-03-02 01:35:26,55.08,36,0,8.05,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Rohnert Park,38.3396,-122.7011,1
590,FL,2023-03-02 01:35:27,79.16,73,75,3.44,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Seminole,28.7086,-81.2081,1
594,MI,2023-03-02 01:33:45,45.21,78,40,9.22,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Clinton,42.587,-82.9199,0
595,ND,2023-03-02 01:35:28,15.04,68,100,3.0,   Government Expenditures ,84182.0,96608.0,104104.0,114135.0,123153.0,130834.0,135114.0,135881.0,143473.0,153745.0,0.00M,,,,,,,,,,,Williston,48.147,-103.618,0
596,AL,2023-03-02 01:32:39,73.63,83,20,4.61,,,,,,,,,,,,0.00M,,,,,,,,,,,Gadsden,34.0143,-86.0066,0
597,OR,2023-03-02 01:34:15,45.81,69,75,5.75,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Portland,45.5234,-122.6762,0
598,IA,2023-03-02 01:35:29,37.89,72,85,5.01,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Indianola,41.3581,-93.5574,0
599,AL,2023-03-02 01:34:19,71.42,83,100,6.55,,,,,,,,,,,,0.00M,,,,,,,,,,,Marshall,34.3834,-86.3333,0
600,HI,2023-03-02 01:35:31,78.75,62,20,18.41,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Nanakuli,21.3906,-158.1547,0
601,CO,2023-03-02 01:31:37,34.27,74,100,16.11,   Government Expenditures ,568335.0,586706.0,607709.0,617820.0,685891.0,789345.0,887881.0,926516.0,953823.0,1034161.0,1.50M,37.0,167.3,130.7,54.7,69.7,80.8,3.8,36.0,43.6,56.3,Fort Morgan,40.2503,-103.8,0
602,WA,2023-03-02 01:35:31,43.18,41,100,8.05,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Wenatchee,47.4235,-120.3103,0
604,VT,2023-03-02 01:35:32,36.09,91,100,1.01,   Government Expenditures ,29234.0,32217.0,34751.0,37277.0,37767.0,37345.0,37750.0,39695.0,42334.0,46765.0,1.14M,,,,,,,,,,,Brattleboro,42.8509,-72.5579,0
605,NY,2023-03-02 01:34:18,38.82,84,66,3.78,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Port Jervis,41.3751,-74.6927,0
607,FL,2023-03-02 01:32:00,74.95,61,2,6.2,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Avon Park,27.5959,-81.5062,1
611,FL,2023-03-02 01:36:33,78.89,71,40,11.5,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Lockhart,28.6194,-81.4426,1
615,FL,2023-03-02 01:36:34,75.27,82,0,10.36,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Cape Canaveral,28.4058,-80.6048,1
619,PA,2023-03-02 01:36:35,54.63,58,75,8.05,   Government Expenditures ,483052.0,517052.0,527817.0,540568.0,591507.0,646113.0,711072.0,707676.0,738929.0,794561.0,2.70M,25.0,171.1,122.3,62.2,74.1,75.7,5.2,38.1,46.3,72.1,Hermitage,41.2334,-80.4487,0
621,MN,2023-03-02 01:33:56,15.4,32,75,6.91,   Government Expenditures ,481416.0,519959.0,555911.0,592604.0,633074.0,686979.0,748308.0,805894.0,857403.0,920680.0,0.21M,31.0,169.5,122.8,44.7,77.2,75.3,5.6,35.9,27.5,49.5,Hibbing,47.4272,-92.9377,0
622,CA,2023-03-02 01:36:36,54.93,41,20,17.27,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Artesia,33.8658,-118.0831,1
